taxa	harmonized_name	rank
Navicula hustedtii	Navicula hustedtii Krasske, 1923	SPECIES
Navicula helvetica var. woltereckii f. rostrata	Navicula helvetica f. rostrata Hustedt, 1942	FORM
Nitzschia angustata var. acuta	Nitzschia angustata var. acuta Grunow, 1880	VARIETY
Navicula ignota var. acceptata	Navicula ignota var. acceptata (Hustedt) Lange-Bertalot, 1985	VARIETY
Nitzschia allanssonii	Nitzschia allansonii Cholnoky, 1958	SPECIES
Nitzschia angustata	Nitzschia angustata	SPECIES
Nitzschia archibaldii	Nitzschia archibaldii Lange-Bertalot, 1980	SPECIES
Nitzschia atomus	Nitzschia atomus Hustedt, 1950	SPECIES
Nitzschia bremensis var. brunswigensis	Nitzschia bremensis var. brunswigensis Hust., 1930	VARIETY
Nitzschia bryophila	Nitzschia bryophila Petersen	SPECIES
Nitzschia bulnheimiana	Nitzschia bulnheimiana (Rabenhorst) H.L.Smith, 1874-1879	SPECIES
Nitzschia calida	Nitzschia calida Grunow	SPECIES
Navicula incerta	Navicula incerta Ehrenberg, 1837	SPECIES
Navicula incompta	Navicula incompta Krasske, 1932	SPECIES
Navicula incertata	Navicula incertata Lange-Bertalot, 1985	SPECIES
Navicula indifferens	Navicula indifferens Hustedt, 1942	SPECIES
Nitzschia elliptica var. alexandrina	Nitzschia elliptica var. alexandrina Cholnoky, 1958	VARIETY
Nitzschia frustulum var. inconspicua	Nitzschia frustulum var. inconspicua (Grunow) Grunow, 1882	VARIETY
Nitzschia fossalis	Nitzschia fossalis Hustedt, 1942	SPECIES
Nitzschia frequens	Nitzschia frequens Hustedt, 1957	SPECIES
Nitzschia frustulum	Nitzschia frustulum (Kützing) Grunow, 1880	SPECIES
Nitzschia fossilis	Nitzschia fossilis (Grunow) Grunow, 1881	SPECIES
Nitzschia fruticosa	Nitzschia fruticosa Hustedt, 1957	SPECIES
Nitzschia graciliformis	Nitzschia graciliformis Lange-Bertalot & Simonsen, 1978	SPECIES
Nitzschia ignorata	Nitzschia ignorata Krasske, 1929	SPECIES
Nitzschia gracilis	Nitzschia gracilis Hantzsch, 1860	SPECIES
Nitzschia heidenii	Nitzschia heideni	SPECIES
Nitzschia hollerupensis	Nitzschia hollerupensis Foged, 1962	SPECIES
Nitzschia hungarica	Nitzschia hungarica	SPECIES
Nitzschia incurva var. lorenziana	Nitzschia incurva var. lorenziana (Grunow) R.Ross, 1986	VARIETY
Nitzschia incurva var. subtilis	Nitzschia incurva var. subtilis B.Hartley, 1986	VARIETY
Nitzschia incurva	Nitzschia incurva Grunow, 1878	SPECIES
Nitzschia lacuum	Nitzschia lacuum Lange-Bertalot, 1980	SPECIES
Nitzschia longirostris	Nitzschia longirostris Hustedt, 1937	SPECIES
Navicula imbricata	Navicula imbricata Bock	SPECIES
Nitzschia media	Nitzschia media Hantzsch, 1860	SPECIES
Nitzschia minutula	Nitzschia minutula Grunow, 1881	SPECIES
Nitzschia monachorum	Nitzschia monachorum Lange-Bertalot, 1987	SPECIES
Nitzschia inconspicua	Nitzschia inconspicua Grunow, 1862	SPECIES
Navicula ingenua	Navicula ingenua Hustedt	SPECIES
Navicula ignota	Navicula ignota Krasske, 1932	SPECIES
Navicula insociabilis	Navicula insociabilis	SPECIES
Nitzschia intermedia	Nitzschia intermedia Hantzsch ex Cleve & Grunow, 1880	SPECIES
Navicula inutilis	Navicula inutilis Krasske, 1949	SPECIES
Navicula ignota var. palustris	Navicula ignota var. palustris (Hustedt) Lund, 1946	VARIETY
Nitzschia paleaeformis	Nitzschia paleaeformis Hustedt, 1950	SPECIES
Nitzschia plicatula	Nitzschia plicatula Hustedt, 1953	SPECIES
Nitzschia perminuta	Nitzschia perminuta (Grunow) M.Peragallo, 1903	SPECIES
Navicula importuna	Navicula importuna Hustedt, 1942	SPECIES
Nitzschia pura	Nitzschia pura Hustedt, 1954	SPECIES
Nitzschia pusilla	Nitzschia pusilla Grunow, 1862	SPECIES
Nitzschia ignorata var. rousselinii	Nitzschia ignorata var. rousselinii Maillard, 1978	VARIETY
Nitzschia irremissa	Nitzschia irremissa Cholnoky, 1959	SPECIES
Nitzschia rostellata	Nitzschia rostellata Hustedt, 1922	SPECIES
Neidium iridis var. subampliatum	Neidium iridis var. subampliatum (Grunow ex A.Schmidt) Cleve-Euler, 1939	VARIETY
Nitzschia scalpelliformis	Nitzschia scalpelliformis Grunow, 1880	SPECIES
Nitzschia solita	Nitzschia solita Hustedt, 1953	SPECIES
Nitzschia subtilis	Nitzschia subtilis (Kützing) Grunow, 1880	SPECIES
Nitzschia tenuis	Nitzschia tenuis W.Smith, 1853	SPECIES
Navicula integra	Navicula integra (Grunow ex Cleve) Fricke, 1902	SPECIES
Nitzschia interrupta	Nitzschia interrupta Heiden & Kolbe, 1928	SPECIES
Nitzschia intermedia terato	Nitzschia intermedia Hantzsch ex Cleve & Grunow, 1880	SPECIES
Nitzschia valdestriata	Nitzschia valdestriata Aleem & Hustedt, 1951	SPECIES
Nitzschia invisitata f. anormale	Nitzschia invisitata Hustedt, 1942	SPECIES
Neidium iridis var. vernale	Neidium iridis f. vernale Reichelt	FORM
Nitzschia vitrea	Nitzschia vitrea G.Norman, 1861	SPECIES
Nitzschia sp. terato	-	-
Navicula joubaudii	Navicula joubaudii H.Germain, 1982	SPECIES
Nitzschia jugiformis	Nitzschia jugiformis Hustedt, 1922	SPECIES
Navicula kotschyi	Navicula kotschyi Grunow	SPECIES
Nitzschia kuetzingioides	Nitzschia kuetzingioides Hustedt, 1959	SPECIES
Nitzschia kurzii terato	Nitzschia kurzii Rabenhorst, 1880	SPECIES
Nitzschia kuetzingiana	Nitzschia kuetzingiana Hilse, 1863	SPECIES
Nitzschia kurzii	Nitzschia kurzii Rabenhorst, 1880	SPECIES
Navicula kutzingiana	Navicula kützingiana Hilse, 1863	SPECIES
Navicula laevissima	Navicula laevissima	SPECIES
Navicula lanceolata	Navicula lanceolata (Agardh) Kützing	SPECIES
Navicula laterostrata	Navicula laterostrata Hustedt	SPECIES
Nitzschia lauenburgiana	Nitzschia lauenburgiana Hustedt, 1950	SPECIES
Nitzschia liebetruthii	Nitzschia liebetruthii Rabenhorst, 1864	SPECIES
Navicula lanceolata var. cymbula	Navicula lanceolata var. cymbula (Donkin) Cleve	VARIETY
Nitzschia limicola	Nitzschia limicola Grunow, 1880	SPECIES
Navicula lenzii	Navicula lenzii Hustedt	SPECIES
Nitzschia levidensis	Nitzschia levidensis (W.Smith) Grunow, 1881	SPECIES
Nitzschia legleri	Nitzschia legleri Hustedt, 1959	SPECIES
Navicula lagerstedtii var. palustris	Navicula lagerstedtii var. palustris Hustedt, 1934	VARIETY
Navicula lagerstedtii	Navicula lagerstedtii O'Meara	SPECIES
Navicula lagerheimii var. intermedia	Navicula lagerheimii var. intermedia Hustedt	VARIETY
Nitzschia linearis terato	Nitzschia linearis W.Smith, 1853	SPECIES
Navicula libonensis	Navicula libonensis Schoeman	SPECIES
Nitzschia linearis	Nitzschia linearis W.Smith, 1853	SPECIES
Nitzschia littoralis	Nitzschia littoralis Grunow, 1880	SPECIES
Navicula lacunolaciniata	Navicula lacunolaciniata Lange-Bertalot & Bonik, 1976	SPECIES
Navicula lanceolata	Navicula lanceolata (Agardh) Kützing	SPECIES
Navicula limatoides	Navicula limatoides Hustedt, 1950	SPECIES
Navicula lanceolata terato	Navicula lanceolata (Agardh) Kützing	SPECIES
Navicula lobeliae	Navicula lobeliae Jørgensen, 1948	SPECIES
Nitzschia lorenziana	Nitzschia lorenziana Grunow, 1879	SPECIES
Navicula longicephala var. vilaplanii	Navicula longicephala var. vilaplanii Lange-Bertalot & Sabater, 1990	VARIETY
Nitzschia levidensis var. salinarum	Bacillariaceae	FAMILY
Navicula leptostriata	Navicula leptostriata Jørgensen	SPECIES
Nitzschia linearis var. subtilis	Nitzschia linearis var. subtilis (Grunow) Hustedt, 1923	VARIETY
Nitzschia lancettula	Nitzschia lancettula O.F.Müller	SPECIES
Navicula lundii	Navicula lundii Reichardt	SPECIES
Navicula luzonensis	Navicula luzonensis Hustedt	SPECIES
Nitzschia levidensis var. victoriae	Nitzschia levidensis var. victoriae (Grunow) Cholnoky, 1956	VARIETY
Nitzschia lorenziana var. subtilis	Nitzschia lorenziana var. subtilis Grunow, 1880	VARIETY
Nitzschia lorenziana var. incurva	Nitzschia lorenziana var. incurva Grunow, 1880	VARIETY
Navicula madeirensis	Navicula madeirensis Lange-Bertalot	SPECIES
Navicula microdigitoradiata terato	Navicula microdigitoradiata Lange-Bertalot	SPECIES
Nitzschia makarovae	Nitzschia makarovae Mikhailov, 1984	SPECIES
Navicula microcari	Navicula microcari Lange-Bertalot	SPECIES
Navicula mutica var. cohnii	Navicula mutica var. cohnii (Hilse) Grunow, 1880	VARIETY
Navicula microdigitoradiata	Navicula microdigitoradiata Lange-Bertalot	SPECIES
Navicula mendotia	Navicula mendotia VanLandingham, 1975	SPECIES
Navicula mediocris	Navicula mediocris Krasske, 1932	SPECIES
Navicula menisculus var. grunowii	Navicula menisculus var. grunowii Lange-Bertalot	VARIETY
Nitzschia microcephala var. elegantula	Nitzschia microcephala var. elegantula (Grunow) van Heurck, 1885	VARIETY
Navicula menisculus	Navicula menisculus Schumann	SPECIES
Navicula menisculus terato	Navicula menisculus Schumann	SPECIES
Navicula moenofranconica	Navicula moenofranconica Lange-Bertalot	SPECIES
Navicula margalithii	Navicula margalithii Lange-Bertalot	SPECIES
Navicula mutica var. goeppertiana	Navicula mutica var. goeppertiana Cleve & Grunow, 1880	VARIETY
Nitzschia microcephala	Nitzschia microcephala Grunow, 1878	SPECIES
Navicula minima	Navicula minima Grunow, 1880	SPECIES
Navicula minuscula	Navicula minuscula Grunow	SPECIES
Navicula mitis	Navicula mitis Hustedt, 1945	SPECIES
Navicula maillardii	Navicula maillardii Germain, 1982	SPECIES
Navicula molestiformis	Navicula molestiformis Hustedt, 1949	SPECIES
Nitzschia microcephala var. medioconstricta	Nitzschia microcephala var. medioconstricta Fritsch & Rich, 1929	VARIETY
Navicula mobiliensis var. minor	Navicula mobiliensis var. minor R.M.Patrick	VARIETY
Navicula minimoides	Navicula minimoides Manguin ex Kociolek & Reviers, 1996	SPECIES
Navicula minuscula var. muralis	Navicula minuscula var. muralis (Grunow) Lange-Bertalot, 1981	VARIETY
Navicula minuta	Navicula minuta Skvortzov	SPECIES
Navicula mutica var. nivalis	Navicula mutica var. nivalis (Ehrenberg) Hustedt, 1911	VARIETY
Navicula minusculoides	Navicula minusculoides Hustedt, 1942	SPECIES
Navicula meniscus	Navicula meniscus Schumann	SPECIES
Navicula monoculata	Navicula monoculata Hustedt, 1945	SPECIES
Navicula modica	Navicula modica Hustedt, 1945	SPECIES
Nitzschia moissacensis	Nitzschia moissacensis (Héribaud-Joseph) Comber, 1901	SPECIES
Navicula moskalii	Navicula moskalii Metzeltin, Witkowski & Lange-Bertalot	SPECIES
Navicula mournei	Navicula mournei Patrick	SPECIES
Navicula mutica var. peguana	Navicula mutica var. peguana Grunow, 1879	VARIETY
Navicula mutica var. pseudolagerheimii	Navicula mutica Grunow, 1860	SPECIES
Navicula muscora	Navicula muscora J.P.Kociolek & B.Reviers, 1996	SPECIES
Navicula minima terato	Navicula minima Grunow, 1880	SPECIES
Navicula mitigata	Navicula mitigata Hustedt, 1966	SPECIES
Navicula minima var. atomoides	Navicula minima var. atomoides Manguin, 1954	VARIETY
Navicula muticopsis	Navicula muticopsis Van Heurck, 1909	SPECIES
Navicula mutica var. tropica	Navicula mutica var. tropica Hustedt	VARIETY
Navicula mutica var. capitata	Navicula mutica Grunow, 1860	SPECIES
Navicula muraloides	Navicula muraloides Hustedt	SPECIES
Navicula mutica f. intermedia	Navicula mutica f. intermedia (Hustedt) Hustedt, 1964	FORM
Navicula menisculus var. upsaliensis	Navicula menisculus var. upsaliensis Grunow	VARIETY
Navicula muralis	Navicula muralis Grunow, 1880	SPECIES
Navicula mutica	Navicula mutica Grunow, 1860	SPECIES
Navicula mutica var. ventricosa	Navicula mutica var. ventricosa (Kützing) Cleve & Grunow, 1880	VARIETY
Nitzschia nana	Nitzschia nana Grunow, 1881	SPECIES
Navicula natalensis	Navicula natalensis Cholnoky, 1957	SPECIES
Nitzschia navicularis	Nitzschia navicularis (Brébisson) Grunow, 1880	SPECIES
Navicula nivalis f. distinguenda	Navicula nivalis f. distenguenda Ehr.	FORM
Navicula neoventricosa	Navicula neoventricosa Hustedt	SPECIES
Naviculadicta nanogomphonema	Naviculadicta nanogomphonema Lange-Bertalot & U.Rumrich, 2000	SPECIES
Navicula nivalis	Navicula nivalis Ehrenberg, 1853	SPECIES
Navicula notha	Navicula notha Wallace	SPECIES
Navicula novaesiberica	Navicula novaesiberica Lange-Bertalot	SPECIES
Nitzschia natalensis	Nitzschia natalensis Cholnoky, 1960	SPECIES
Navicula nyassensis	Navicula nyassensis	SPECIES
Navicula nyassensis f. capitata	Navicula nyassensis var. capitata O.Miller	VARIETY
Nitzschia obtusa var. kurzii	Nitzschia obtusa var. kurzii Rabenhorst ex Cleve & Möller	VARIETY
Navicula oblonga	Navicula oblonga Østrup, 1910	SPECIES
Nitzschia obtusa var. brevissima	Nitzschia obtusa var. brevissima Van Heurck, 1885	VARIETY
Nitzschia obtusa var. nana	Nitzschia obtusa var. nana Grunow, 1885	VARIETY
Nitzschia obtusa var. scalpelliformis	Nitzschia obtusa var. scalpelliformis (Grunow) Grunow, 1881	VARIETY
Neidium odamii	Neidium odamii Bastow, 1954	SPECIES
Navicula oblongella	Navicula oblongella	SPECIES
Navicula oligotraphenta	Navicula oligotraphenta Lange-Bertalot & G.Hofmann	SPECIES
Navicula oppugnata	Navicula oppugnata Hustedt	SPECIES
Nitzschia obtusa var. scalpelliformis f. minor-angusta	Nitzschia obtusa W.Smith, 1853	SPECIES
Nitzschia obsidialis	Nitzschia obsidialis Hustedt, 1949	SPECIES
Nitzschia scalpelliformis terato	Nitzschia scalpelliformis Grunow, 1880	SPECIES
Nitzschia osmophila	Nitzschia osmophila Cholnoky, 1963	SPECIES
Nitzschia obtusangula	Nitzschia obtusangula Hustedt, 1950	SPECIES
Nitzschia paleacea f. acicularioides	Nitzschia paleacea Grunow, 1881	SPECIES
Nitzschia palea var. debilis	Nitzschia palea var. debilis (Kützing) Grunow, 1880	VARIETY
Nitzschia paleacea	Nitzschia paleacea Grunow, 1881	SPECIES
Navicula pseudoanglica	Navicula pseudoanglica Foged & Moller, 1968	SPECIES
Nitzschia palea	Nitzschia palea (Kützing) W.Smith, 1856	SPECIES
Nitzschia palea var. minuta	Nitzschia palea var. minuta (Bleisch) Grunow, 1881	VARIETY
Nitzschia palea var. tenuirostris	Nitzschia palea var. tenuirostris Grunow, 1881	VARIETY
Navicula paucivisitata	Navicula paucivisitata Patrick	SPECIES
Nitzschia punctata var. curta	Nitzschia punctata var. curta Grunow	VARIETY
Navicula pseudocari	Navicula pseudocari Krasske, 1939	SPECIES
Nitzschia paradoxa	Nitzschia paradoxa (J.F.Gmelin) Grunow, 1880	SPECIES
Nitzschia holsatica var. ebroicensis	Nitzschia holsatica Hustedt, 1930	SPECIES
Navicula peguana	-	-
Navicula pelliculosa	Navicula pelliculosa (Kützing) Hilse	SPECIES
Navicula perpusilla	Navicula perpusilla	SPECIES
Navicula permitis	Navicula permitis Hustedt, 1945	SPECIES
Navicula protractoides	Navicula protractoides Hustedt, 1957	SPECIES
Navicula pseudoexilissima	Navicula pseudoexilissima Hustedt, 1962	SPECIES
Nitzschia punctata f. minores	Nitzschia punctata f. minores Hustedt, 1921	FORM
Navicula pseudoforcipata	Navicula pseudoforcipata Hustedt, 1942	SPECIES
Nitzschia pseudohungarica	Nitzschia pseudohungarica Hustedt, 1939	SPECIES
Nitzschia philippinarum	Nitzschia philippinarum Hustedt, 1942	SPECIES
Navicula phyllepta	Navicula phyllepta Kützing	SPECIES
Navicula placentula	Navicula placentula (Ehrenberg) Kützing, 1844	SPECIES
Navicula pseudolagerstedtii	Navicula pseudolagerstedtii Cholnoky, 1960	SPECIES
Navicula placentula f. minuta	Navicula placentula f. minuta Boye Petersen, 1946	FORM
Navicula placentula f. rostrata	Navicula placentula f. rostrata (Mayer) Hustedt, 1930	FORM
Navicula peregrina var. meniscus	Navicula peregrina var. meniscus (Schumann) Grunow	VARIETY
Nitzschia pumila	Nitzschia pumila Hustedt, 1954	SPECIES
Navicula peregrinoides	Navicula peregrinoides D.Metzeltin, H.Lange-Bertalot & F.García-Rodríguez, 2005	SPECIES
Navicula pupula var. nyassensis	Navicula pupula var. nyassensis (Otto Müller) Lange-Bertalot, 1985	VARIETY
Navicula perminuta	Navicula perminuta Grunow	SPECIES
Navicula producta	Navicula producta Brébisson	SPECIES
Nitzschia perpusilla var. groenlandica	Nitzschia perpusilla var. groenlandica Cleve & Möller, 1882	VARIETY
Navicula perparva	Navicula perparva Hustedt	SPECIES
Navicula praeterita	Navicula praeterita Hustedt	SPECIES
Navicula peregrina	Navicula peregrina (Ehrenberg) Kützing	SPECIES
Navicula protracta	-	-
Navicula peratomus	Navicula peratomus Hustedt	SPECIES
Nitzschia pseudofonticola	Nitzschia pseudofonticola Hustedt, 1942	SPECIES
Navicula pseudohalophila	Navicula pseudohalophila Cholnoky, 1960	SPECIES
Navicula pseudolanceolata	Navicula pseudolanceolata Lange-Bertalot	SPECIES
Nitzschia paleacea terato	Nitzschia paleacea Grunow, 1881	SPECIES
Nitzschia palea terato	Nitzschia palea (Kützing) W.Smith, 1856	SPECIES
Navicula punctifera	Navicula punctifera Hustedt, 1952	SPECIES
Navicula pupula var. mutata	Navicula pupula var. mutata (Krasske) Hustedt, 1930	VARIETY
Nitzschia punctata	Nitzschia punctata L.W.Bailey, 1861	SPECIES
Navicula pupula	Navicula pupula Bristol, 1920	SPECIES
Navicula pusilla	Navicula pusilla	SPECIES
Navicula parva	Navicula parva (Ehrenberg) Ralfs	SPECIES
Navicula pseudoventralis	Navicula pseudoventralis Hustedt	SPECIES
Nitzschia parvuloides	Nitzschia parvuloides Cholnoky	SPECIES
Navicula parvipenda	Navicula parvipendata Cholnoky	SPECIES
Nitzschia parvula	Nitzschia parvula W.Smith, 1853	SPECIES
Nitzschia	-	-
Navicula pygmaea	Navicula pygmaea Frenguelli, 1923	SPECIES
Navicula quadripunctata	Navicula quadripunctata Hust., 1950	SPECIES
Navicula radiosa	Navicula radiosa Kützing	SPECIES
Navicula rhomboides	Navicula rhomboides Ehrenberg, 1843	SPECIES
Navicula recondita	Navicula recondita Hustedt, 1942	SPECIES
Navicula reichardtiana terato	Navicula reichardtiana Lange-Bertalot	SPECIES
Navicula reichardtiana	Navicula reichardtiana Lange-Bertalot	SPECIES
Navicula reichardtiana var. crassa	Navicula reichardtiana var. crassa Lange-Bertalot & G.Hofmann	VARIETY
Navicula recens	Navicula recens Lange-Bertalot	SPECIES
Nitzschia recta	Nitzschia recta Grunow, 1880	SPECIES
Navicula reinhardtii	Navicula reinhardtii (Grunow) Grunow	SPECIES
Nitzschia retusa	Nitzschia retusa Lange-Bertalot & Bonik, 1976	SPECIES
Navicula rotaena var. excentrica	Navicula rotaeana var. excentrica Grunow, 1880	VARIETY
Navicula radiosafallax	Navicula radiosafallax Lange-Bertalot	SPECIES
Navicula rhynchocephala var. germainii	Navicula rhynchocephala var. germainii (Wallace) Patrick	VARIETY
Nitzschia rugosa	Nitzschia rugosa Østrup, 1920	SPECIES
Navicula reinhardtii var. gracilior	Navicula reinhardtii var. gracilior Grunow	VARIETY
Navicula rhynchotella	Navicula rhynchotella Lange-Bertalot	SPECIES
Navicula rhynchocephala	Navicula rhynchocephala Kützing	SPECIES
Nitzschia romana	Nitzschia romana Grunow, 1881	SPECIES
Navicula rostellata	Navicula rostellata Kützing	SPECIES
Navicula radiosa var. parva	Navicula radiosa var. parva J.H.Wallace	VARIETY
Neidium roland-schmidtii	Neidium roland-schmidtii D.Metzeltin & H.Lange-Bertalot, 2007	SPECIES
Nitzschia rosenstockii	Nitzschia rosenstockii Lange-Bertalot, 1980	SPECIES
Navicula rotunda	Navicula rotunda Hustedt, 1945	SPECIES
Navicula radiosa var. tenella	Navicula radiosa var. tenella (Brébisson ex Kütziny) Grunow	VARIETY
Navicula recens terato	Navicula recens Lange-Bertalot	SPECIES
Navicula ruttneri	Navicula ruttneri Hustedt, 1937	SPECIES
Navicula rivularis	Navicula rivularis Hustedt, 1942	SPECIES
Navicula schubartii var. africana	Navicula schubartii var. africana Archibald, 1966	VARIETY
Navicula salinarum var. intermedia	Navicula salinarum var. intermedia (Grunow) Cleve	VARIETY
Navicula salinarum	Navicula salinarum Grunow	SPECIES
Navicula saprophila	Navicula saprophila Lange-Bertalot & Bonik, 1976	SPECIES
Navicula salinarum var. rostrata	Navicula salinarum var. rostrata (Hustedt) Lange-Bertalot	VARIETY
Navicula subatomoides	Navicula subatomoides Hustedt, 1936	SPECIES
Navicula sculpta	Navicula sculpta Ehrenberg, 1854	SPECIES
Navicula subbacillum	Navicula subbacillum Hustedt, 1937	SPECIES
Nitzschia subcapitellata	Nitzschia subcapitellata Hustedt, 1939	SPECIES
Navicula subhamulata	Navicula subhamulata	SPECIES
Nitzschia sublinearis	Nitzschia sublinearis Hustedt, 1930	SPECIES
Navicula subminuscula	Navicula subminuscula (Skvortzov, 2012)	SPECIES
